ccaa,cpro,cmun,dist,secc,t1_1
01,41,091,09,049,1295
01,41,091,09,050,2210
01,41,091,09,051,2350
01,41,091,09,052,1345
01,41,091,09,053,1880
01,41,091,09,054,1850
01,41,091,09,055,1275
01,41,091,09,056,1400
01,41,091,09,057,890
01,41,091,09,058,1785
01,41,091,09,059,2415
01,41,091,09,060,2145
01,41,091,09,061,1515
01,41,091,10,001,1410
01,41,091,10,002,1650
01,41,091,10,003,1755
01,41,091,10,004,1035
01,41,091,10,005,845
01,41,091,10,006,1310
01,41,091,10,007,1140
01,41,091,10,008,2635
01,41,091,10,009,2000
01,41,091,10,010,1505
01,41,091,10,011,800
01,41,091,10,012,620
01,41,091,10,013,580
01,41,091,10,014,495
01,41,091,10,015,535
01,41,091,10,016,1220
01,41,091,10,017,975
01,41,091,10,018,2395
01,41,091,10,019,820
01,41,091,10,020,1530
01,41,091,10,021,2835
01,41,091,10,022,1495
01,41,091,10,023,2095
01,41,091,10,024,2745
01,41,091,10,025,2245
01,41,091,10,026,2510
01,41,091,11,001,1325
01,41,091,11,002,1410
01,41,091,11,003,650
01,41,091,11,004,1080
01,41,091,11,005,1640
01,41,091,11,006,2085
01,41,091,11,007,1605
01,41,091,11,008,1155
01,41,091,11,009,1125
01,41,091,11,010,1590
01,41,091,11,011,925
01,41,091,11,012,2220
01,41,091,11,013,660
01,41,091,11,014,1105
01,41,091,11,015,1055
01,41,091,11,016,1390
01,41,091,11,017,1250
01,41,091,11,018,1455
01,41,091,11,019,1030
